customer_id,pincode,delivered_item_count,delivered_item_amount,return_item_amount,return_item_count,ts
26DB9141648C558,688535,1,296700,0,0,1630434600000
26DB9144CC9541F,852131,1,563500,0,0,1654021800000
26DB914BF5B5E31,342008,6,7169100,0,0,1633026600000
26DB914BF5B5E31,342008,0,0,0,0,1648751400000
26DB914BF5B5E31,342003,1,2702500,0,0,1640975400000
26DB914BF5B5E31,342003,3,3781200,0,0,1625077800000
26DB914BF5B5E31,342008,5,1695100,0,0,1622485800000
26DB914BF5B5E31,342008,1,61833200,0,0,1625077800000
26DB914BF5B5E31,342003,1,1412200,0,0,1614537000000
26DB914BF5B5E31,342008,0,0,0,0,1656613800000
26DB914BF5B5E31,342003,2,1692800,0,0,1654021800000
26DB914BF5B5E31,342008,1,1492700,0,0,1596220200000
26DB914BF5B5E31,342003,1,890100,0,0,1604169000000
26DB914BF5B5E31,342008,1,915400,0,0,1606761000000
26DB914BF5B5E31,342008,0,0,0,0,1596220200000
26DB914BF5B5E31,342003,1,2647300,0,0,1640975400000
26DB914BF5B5E31,342008,6,1968800,0,0,1648751400000
26DB914BF5B5E31,342003,1,1722700,0,0,1643653800000
26DB914BF5B5E31,342003,1,1722700,0,0,1643653800000
26DB914BF5B5E31,342008,1,2067700,0,0,1622485800000
26DB914BF5B5E31,342008,1,1743400,0,0,1596220200000
26DB914BF5B5E31,342003,0,0,3519000,1,1640975400000
26DB914BF5B5E31,342003,1,906200,0,0,1625077800000
26DB914BF5B5E31,342003,0,0,0,0,1625077800000
26DB914BF5B5E31,342008,1,1147700,0,0,1569868200000
26DB914BF5B5E31,342008,0,0,0,0,1577817000000
26DB914BF5B5E31,342003,1,2302300,0,0,1633026600000
26DB914BF5B5E31,342003,9,2113700,0,0,1633026600000
26DB914BF5B5E31,342008,2,2543800,0,0,1575138600000
26DB914BF5B5E31,342008,0,0,0,0,1569868200000
26DB914BF5B5E31,342008,1,1110900,0,0,1575138600000
26DB914BF5B5E31,342008,3,1281100,0,0,1633026600000
26DB914BF5B5E31,342003,1,2626600,0,0,1640975400000
26DB914BF5B5E31,342003,2,986700,0,0,1627756200000
26DB914BF5B5E31,342003,1,1768700,0,0,1625077800000
26DB914BF5B5E31,342008,1,690000,0,0,1596220200000
26DB914BF5B5E31,342008,3,3049800,0,0,1598898600000
26DB914BF5B5E31,342003,5,857900,0,0,1625077800000
26DB914BF5B5E31,342003,6,1403000,0,0,1625077800000
26DB914BF5B5E31,342008,3,3061300,0,0,1598898600000
26DB914BF5B5E31,342003,1,204700,0,0,1617215400000
26DB914BF5B5E31,342003,1,1835400,0,0,1601490600000
26DB914BF5B5E31,342003,1,558900,0,0,1646073000000
26DB914BF5B5E31,342003,1,264500,0,0,1635705000000
26DB914BF5B5E31,342003,1,24837700,0,0,1630434600000
26DB914BF5B5E31,342008,1,800400,0,0,1596220200000
26DB914BF5B5E31,342008,1,485300,0,0,1598898600000
26DB914BF5B5E31,342008,2,568100,0,0,1567276200000
26DB914BF5B5E31,342003,1,908500,0,0,1625077800000
26DB914BF5B5E31,342003,1,402500,0,0,1619807400000
26DB914BF5B5E31,342008,3,621000,0,0,1575138600000
26DB914BF5B5E31,342003,1,115000,0,0,1646073000000
